pdf_file_name,this_quarter_total_income,previous_quarter_total_income,same_quarter_last_year_total_income,this_quarter_other_income,previous_quarter_other_income,same_quarter_last_year_other_income,this_quarter_expenses,previous_quarter_expenses,same_quarter_last_year_expenses,this_quarter_comprehensive_income,previous_quarter_comprehensive_income,same_quarter_last_year_comprehensive_income
461_MHRIL_30012026163628_SE_Intimation.pdf,5070.2,15476.56,4924.32,1.37,2.83,1.35,1.37,2.83,1.35,1.37,2.83,1.35
461_MHRIL_30012026163628_SE_Intimation.pdf,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
464_akshatjain_30012026163453_Q3FY26.pdf,46304.77,45262.1,45597.95,459.09,476.28,528.52,39533.23,40218.03,38467.54,5555.84,5242.11,5088.06
464_akshatjain_30012026163453_Q3FY26.pdf,nan,nan,12.21,nan,nan,12.21,nan,nan,12.21,nan,nan,12.21
470_akshatjain_30012026162932_Q3FY26.pdf,46304.77,45262.1,45597.95,459.09,476.28,528.52,39533.23,40218.03,38467.54,5555.84,5242.11,5088.06
470_akshatjain_30012026162932_Q3FY26.pdf,nan,nan,12.21,nan,nan,12.21,nan,nan,12.21,nan,nan,12.21
471_lkwalimbe_bajajauto_co_in_30012026163245_SE_-_Outcome_-_BM_30_Jan_26.pdf,12.0,16640.49,16310.54,-2,436.04,575.8,-2,12907.59,12677.41,1213.0,2556.31,1556.03
479_lkwalimbe_bajajauto_co_in_30012026162829_SE_-_Outcome_-_BM_30_Jan_26.pdf,12.0,16640.49,16310.54,-2,436.04,575.8,-2,12907.59,12677.41,1213.0,2556.31,1556.03
48_ASHOKA_30012026215109_ABL_SFS_CFS_Results_Review_Report_Dec_25_Outcome_Results.pdf,186634.74,190788.13,242636.11,3901.41,5670.11,3847.31,163386.78,162439.83,211979.42,211380.17,nan,9070.64
112_GAEL_30012026200722_Outcome_of_Board_Meeting.pdf,1516.54,1505.87,1139.87,32.37,19.18,8.99,1423.68,1455.08,1042.67,66.68,37.07,71.29
112_GAEL_30012026200722_Outcome_of_Board_Meeting.pdf,1516.56,1505.87,1140.26,nan,nan,nan,nan,nan,nan,66.82,37.13,71.79
112_GAEL_30012026200722_Outcome_of_Board_Meeting.pdf,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
113_GLENMARK_30012026200549_BSE_NSE_RESULT_30012026.pdf,24689.91,18244.16,23804.69,1090.56,2857.56,1291.89,19453.91,17989.88,18209.79,2840.1,-7538.09,4132.73
113_GLENMARK_30012026200549_BSE_NSE_RESULT_30012026.pdf,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
371_ORBTEXP_30012026172251_OutcomeofBM30012026merged_Signed.pdf,5529.35,5857.61,5308.8,112.51,476.96,112.22,4629.35,4619.53,4395.42,619.78,901.81,684.46
371_ORBTEXP_30012026172251_OutcomeofBM30012026merged_Signed.pdf,5748.73,6304.28,5509.98,112.51,476.96,112.22,4860.21,5019.34,4636.73,655.03,1052.42,681.45
02_NACL2020_30012026160956_NAC_Q3_2025.pdf,72427.65,62869.6,58070.38,313.5,124.74,462.87,59030.69,50488.35,48621.06,12398.94,12951.66,8218.17
02_NACL2020_30012026160956_NAC_Q3_2025.pdf,nan,nan,nan,313.5,124.74,462.87,nan,nan,nan,nan,nan,nan
02_NACL2020_30012026160956_NAC_Q3_2025.pdf,-2,72114.15,62744.86,nan,nan,nan,nan,nan,nan,nan,nan,nan
109_MSWIL_30012026151038_FINANCIALSDEC.pdf,2888.02,nan,2300.86,0.95,nan,0.58,2688.48,nan,2116.22,152.23,nan,138.93
111_PRACHI_30012026150552_BMOutcome30012026.pdf,1399.81,1413.07,1176.57,24.97,59.34,30.44,1041.21,1072.26,869.18,276.28,268.49,234.32
116_ARCHIDPLY_30012026150513_Outcome.pdf,16828.74,49253.71,15115.27,28.86,96.77,39.64,16446.34,48418.93,15323.92,166.88,490.99,-158.24
117_bharatsahu_30012026150336_SELetter_Outcome.pdf,4925.01,nan,4761.31,194.06,nan,99.09,2793.37,nan,2639.41,1600.46,nan,1560.4
121_ARCHIDPLY_30012026150251_Outcome.pdf,16828.74,49253.71,15115.27,28.86,96.77,39.64,16446.34,48418.93,15323.92,166.88,490.99,-158.24
123_PRACHI_30012026150034_BMOutcome30012026.pdf,1399.81,1413.07,1176.57,24.97,59.34,30.44,1041.21,1072.26,869.18,276.28,268.49,234.32
125_INSECTICID_30012026150327_STXOutcome30012026.pdf,38445.26,nan,35943.63,88.88,nan,20.92,37221.85,nan,33950.04,732.79,nan,1430.1
129_INSECTICID_30012026145853_STXOutcome30012026.pdf,38445.26,nan,35943.63,88.88,nan,20.92,37221.85,nan,33950.04,732.79,nan,1430.1
138_bharatsahu_30012026145306_SELetter_Outcome.pdf,4925.01,nan,4761.31,194.06,nan,99.09,2793.37,nan,2639.41,1600.46,nan,1560.4
145_INSECTICID_30012026145026_STXOutcome30012026.pdf,38445.26,nan,35943.63,88.88,nan,20.92,37221.85,nan,33950.04,732.79,nan,1430.1
149_FIBERWEB_30012026144416_FIL.pdf,2026.01,nan,7484.11,38.23,nan,96.1,nan,nan,nan,nan,nan,nan
02_NACL2020_30012026160956_NAC_Q3_2025.pdf,72427.65,62869.6,58070.38,313.5,124.74,462.87,59030.69,50488.35,48621.06,12398.94,12951.66,8218.17
02_NACL2020_30012026160956_NAC_Q3_2025.pdf,nan,nan,nan,313.5,124.74,462.87,nan,nan,nan,nan,nan,nan
02_NACL2020_30012026160956_NAC_Q3_2025.pdf,-2,72114.15,62744.86,nan,nan,nan,nan,nan,nan,nan,nan,nan
109_MSWIL_30012026151038_FINANCIALSDEC.pdf,2888.02,2762.67,2300.86,0.95,0.81,0.58,2688.48,2541.67,2116.22,152.23,165.67,138.93
111_PRACHI_30012026150552_BMOutcome30012026.pdf,1399.81,1413.07,1176.57,24.97,59.34,30.44,1041.21,1072.26,869.18,276.28,268.49,234.32
116_ARCHIDPLY_30012026150513_Outcome.pdf,16828.74,17602.37,15115.27,28.86,30.66,39.64,16446.34,17274.24,15323.92,166.88,266.97,-158.24
117_bharatsahu_30012026150336_SELetter_Outcome.pdf,4925.01,4443.81,4761.31,194.06,151.47,99.09,2793.37,2548.58,2639.41,1600.46,1444.06,1560.4
